Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,7051
design__instance__area,58770.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00211885292083025
power__switching__total,0.0006787364254705608
power__leakage__total,5.2542780792919075e-08
power__total,0.0027976420242339373
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.106698
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.106698
timing__hold__ws__corner:nom_tt_025C_1v80,0.259378
timing__setup__ws__corner:nom_tt_025C_1v80,9.86661
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.305886
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.86661
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,176
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.170464
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.170464
timing__hold__ws__corner:nom_ss_100C_1v60,0.382122
timing__setup__ws__corner:nom_ss_100C_1v60,0.145942
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.821055
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.145942
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.078407
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.078407
timing__hold__ws__corner:nom_ff_n40C_1v95,0.111996
timing__setup__ws__corner:nom_ff_n40C_1v95,13.770824
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111996
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.770824
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,270
design__max_fanout_violation__count,0
design__max_cap_violation__count,6
clock__skew__worst_hold,0.080536
clock__skew__worst_setup,-0.176593
timing__hold__ws,0.109866
timing__setup__ws,-0.145176
timing__hold__tns,0.0
timing__setup__tns,-1.026242
timing__hold__wns,0.0
timing__setup__wns,-0.145176
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109866
timing__hold_r2r_vio__count,0
timing__setup_vio__count,12
timing__setup_r2r__ws,-0.145176
timing__setup_r2r_vio__count,12
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,7051
design__instance__area__stdcell,58770.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.809901
design__instance__utilization__stdcell,0.809901
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,131645
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,39
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
route__net,6033
route__net__special,2
route__drc_errors__iter:1,6430
route__wirelength__iter:1,165573
route__drc_errors__iter:2,2595
route__wirelength__iter:2,163529
route__drc_errors__iter:3,2438
route__wirelength__iter:3,163281
route__drc_errors__iter:4,385
route__wirelength__iter:4,162521
route__drc_errors__iter:5,18
route__wirelength__iter:5,162541
route__drc_errors__iter:6,0
route__wirelength__iter:6,162529
route__drc_errors,0
route__wirelength,162529
route__vias,47173
route__vias__singlecut,47173
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,1460.87
timing__unannotated_net__count__corner:nom_tt_025C_1v80,22
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,22
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,22
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.102127
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.102127
timing__hold__ws__corner:min_tt_025C_1v80,0.265157
timing__setup__ws__corner:min_tt_025C_1v80,10.020345
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.302322
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,10.020345
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,22
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,175
